codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
81051;2.00;1.00;3.00;1.00;1.00;0.0140;0.080;0.0200;0.1100;6.900;1.15;0.00;0.000;897.00;0.0000;0.600;99.700;42.5000;9.7200;8.6400;0.8500;0.01500;0.04400;9.00;0.00;2.500;0.500;0.000;0.0000;0.0000;0.0000;0.0200;0.0000;0.00;0.0000;95.00;0;0.05900;9.00;0.0000;0.00;0.00000;0.080;0.00000;0.00;897.00;100;0.0000;0.0000;0.0000
81052;2.17;1.65;0.00;13.50;3.69;0.0063;0.077;0.0055;0.0200;5.000;0.30;99.70;99.700;399.00;0.0000;0.280;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0190;0.0000;0.0000;0.0000;0.00;0.0000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.077;0.00000;0.00;399.00;100;99.7000;0.0000;0.0000
81055;552.00;4.42;23.00;30.40;13.20;0.0370;0.430;0.0190;0.1800;4.320;30.00;2.69;1.060;696.00;0.3200;18.100;75.200;7.2700;30.9000;13.3000;4.8000;0.04600;0.04600;8.50;40.00;0.250;20.300;0.250;0.0200;0.0200;0.2300;0.0310;0.3900;8.00;0.0000;70.00;40;0.09200;11.83;0.4871;0.00;0.00000;0.430;0.00000;0.00;696.00;100;0.9547;1.3600;1.3600
81057;321.00;9.20;33.00;126.00;83.30;0.0500;0.100;0.0500;0.3000;2.000;25.00;7.40;3.200;96.60;1.0000;81.300;6.320;4.2600;0.1770;0.1052;0.0186;0.00019;0.00082;64.00;20.00;0.200;0.170;0.000;0.0200;0.1220;0.2700;0.0450;0.1700;8.00;0.0000;30.00;40;0.00101;65.67;0.8149;0.00;0.00000;0.100;0.00000;0.00;96.60;100;3.0000;2.5200;2.5200
81061;1010.00;12.00;33.00;110.00;20.00;0.1400;0.640;0.0200;0.1800;25.000;10.00;4.56;2.900;492.00;0.3400;40.400;52.400;12.5000;13.3000;8.9600;1.0500;0.00480;0.01000;10.50;30.00;0.000;12.900;0.250;0.1200;0.0100;0.0460;0.0490;0.0370;6.58;0.0000;0.35;40;0.01480;13.00;0.4205;0.00;0.00000;0.640;0.00000;0.00;492.00;100;2.9000;0.5130;0.5130
81063;793.00;6.30;15.00;32.00;21.00;0.0500;0.180;0.0050;0.0800;25.000;10.00;3.64;2.140;265.00;0.6900;68.200;27.500;2.6700;9.3600;7.5500;1.8200;0.00630;0.00630;10.50;185.00;1.800;7.460;0.250;0.0260;0.0100;0.1300;0.0050;0.1500;9.98;0.0000;0.35;40;0.01260;25.92;0.2282;0.00;0.00000;0.180;0.00000;0.00;265.00;100;2.1400;0.4560;0.4560
81064;0.00;0.00;0.00;0.00;0.00;0.0000;0.000;0.0000;0.0000;0.000;0.00;82.80;0.000;383.00;0.0000;0.500;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.0000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.000;0.00000;0.00;383.00;100;0.0000;12.3500;12.3500
81066;510.00;21.30;92.50;230.00;141.00;0.1300;0.780;0.0470;0.5000;2.670;13.50;5.04;4.370;102.00;0.8000;80.100;6.910;1.4600;0.5800;0.5200;0.0610;0.00028;0.00060;7.61;35.00;0.075;0.740;8.020;0.0490;0.1800;0.3500;0.1000;0.1600;20.00;0.0000;3.01;40;0.00088;10.53;0.9583;0.00;0.00000;0.780;0.00000;0.00;102.00;100;4.2700;3.6400;3.6400
81067;20.60;5.50;13.70;88.40;19.50;0.0500;0.470;0.0900;0.0400;0.500;1.40;54.40;54.400;220.00;1.0000;43.800;0.270;0.0120;0.1300;0.0113;0.0104;0.00000;0.00000;0.00;55.60;0.000;0.070;15.000;0.0000;0.0200;0.0700;0.0200;0.0000;10.00;0.0000;0.00;0;0.00000;4.63;0.1771;0.00;0.00000;0.470;0.00000;0.00;220.00;100;54.2759;0.4370;0.4370
81069;517.00;8.10;25.60;56.50;26.60;0.1700;0.710;0.0270;0.1400;0.370;11.10;6.20;0.950;82.50;0.6500;84.700;5.750;3.1200;0.5700;0.5100;0.0600;0.00027;0.00059;28.80;14.50;0.015;0.560;0.500;0.0130;0.0710;0.0500;0.0250;0.0350;4.80;0.0000;13.30;40;0.00086;30.01;0.5324;0.00;0.00000;0.710;0.00000;0.00;82.50;100;0.8000;1.1020;1.1020
