codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
42;16.70;3.10;13.00;43.00;13.00;0.0900;0.060;0.0100;0.2600;25.000;10.00;17.80;17.800;162.00;0.2500;69.400;0.300;0.0001;0.0001;0.0001;0.0001;0.00012;0.00012;0.00;52.90;0.000;0.040;1.200;0.0210;0.0100;0.0530;0.0200;0.0770;5.08;12.1000;0.00;0;0.00024;4.41;0.1600;0.00;0.00000;0.060;0.00000;0.00;0.00;0;16.9012;0.5700;0.5700
43;6.00;8.00;7.00;71.00;8.00;0.5300;0.210;0.0790;0.1300;1.100;1.00;22.50;22.300;180.00;0.3000;65.000;2.190;1.6400;0.0330;0.0004;0.0004;0.00000;0.00000;0.00;1.00;0.000;0.020;4.900;0.0290;0.0170;0.0610;0.0450;0.0000;12.00;9.9000;0.00;0;0.00000;0.08;0.1200;0.00;0.00000;0.210;0.00000;0.00;0.00;0;21.7342;0.0000;0.0000
172;545.00;57.60;206.00;221.00;89.20;0.3000;5.490;0.7600;6.0000;14.600;123.00;2.40;0.000;92.90;0.0000;76.600;1.800;0.3350;0.3860;0.0249;0.0165;0.12523;0.10696;41.30;0.00;1.840;2.090;2.900;0.0560;0.1400;0.4000;0.1000;8.4900;18.80;0.0000;84.80;0;0.23219;41.30;4.8866;100.00;0.00000;4.263;1.22702;0.00;92.90;100;0.0000;16.8000;16.8000
577;323.00;17.10;90.00;190.00;46.80;0.5000;0.500;0.5000;0.5000;4.700;20.00;8.57;1.620;117.00;1.1000;74.900;6.150;3.6800;0.4600;0.3500;0.0990;0.00670;0.00000;16.00;25.00;1.100;1.500;0.500;0.0250;0.0900;0.2300;0.0250;0.3600;2.50;0.0000;31.00;100;0.00670;18.08;1.5712;71.20;0.00000;0.372;0.12780;0.00;117.00;100;0.5063;6.3892;6.3892
673;81.30;70.00;210.00;420.00;150.00;0.8300;3.200;0.4200;1.2000;25.000;10.00;52.90;49.900;559.00;2.5100;0.600;34.900;16.4000;2.0100;1.9200;0.0620;0.00770;0.00770;37.70;31.20;0.038;3.180;0.250;0.0940;0.2800;0.5700;0.0410;0.9900;14.70;0.0000;14.30;125;0.01540;40.30;2.0804;0.00;0.00000;3.200;0.00000;0.00;559.00;100;43.2273;7.2405;7.2405
677;13.70;110.00;180.00;400.00;70.00;1.4000;6.100;0.8400;1.7000;25.000;10.00;52.40;48.800;559.00;5.0700;0.500;34.800;16.9000;2.0600;2.0000;0.0670;0.00830;0.00830;10.50;26.80;0.038;4.210;0.250;0.1100;0.0800;0.8500;0.0500;0.3200;32.20;0.0000;7.92;125;0.01660;12.73;2.0141;0.00;0.00000;6.100;0.00000;0.00;559.00;100;48.7174;6.0649;6.0649
1000;0.00;0.00;4.75;2.00;0.00;0.0000;0.080;0.0300;0.0200;0.000;1.00;2.91;0.000;274.00;0.0000;59.600;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;37.5000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.080;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1001;1.00;0.00;5.00;1.00;0.50;0.0000;0.040;0.0510;0.0190;0.000;1.00;2.80;0.000;228.00;0.0000;66.300;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;30.9000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.040;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1002;2.00;0.00;0.00;0.00;0.00;0.0000;0.180;0.0025;0.0040;0.000;1.00;0.00;0.000;265.00;0.0000;62.100;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;37.9000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.180;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1003;7.25;3.00;6.00;30.00;1.00;0.0220;0.080;0.0300;0.0900;0.000;1.00;39.60;35.300;328.00;0.0000;35.600;0.300;0.0830;0.1200;0.0690;0.0520;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0040;0.0120;0.0000;0.0000;0.0000;0.00;23.8000;0.00;0;0.00000;0.00;0.1200;0.00;0.00000;0.080;0.00000;0.00;0.00;0;35.3000;0.0950;0.0950
1004;1.00;0.00;4.50;2.00;0.00;0.0180;0.080;0.0590;0.0430;0.000;1.00;0.04;0.000;248.00;0.0000;64.500;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0070;0.0040;0.0000;0.0010;0.0000;0.00;35.5000;0.00;0;0.00000;0.00;0.0130;0.00;0.00000;0.080;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1005;0.00;0.00;3.00;1.00;0.00;0.0080;0.020;0.0170;0.0140;0.000;1.00;1.57;0.100;249.00;0.0000;63.700;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0080;0.0010;0.0000;0.0000;0.0000;0.00;34.7000;0.00;0;0.00000;0.00;0.0500;0.00;0.00000;0.020;0.00000;0.00;0.00;0;0.1000;0.0000;0.0000
1006;10.90;9.07;9.00;83.10;7.46;0.0710;0.350;0.0530;0.1100;0.070;1.00;10.00;4.440;147.00;0.0000;73.600;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0180;0.0140;0.0320;0.0078;0.0000;0.10;15.3000;0.00;0;0.00000;0.00;0.1400;0.00;0.00000;0.350;0.00000;0.00;0.00;0;4.2092;0.1140;0.1140
1007;15.00;7.00;6.25;48.00;7.37;0.0000;0.440;0.1000;0.0350;0.000;1.20;11.40;11.100;137.00;0.0000;75.300;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;3.050;0.0000;0.0000;0.0630;0.0075;0.0033;0.00;13.1000;0.00;0;0.00000;0.00;0.0450;0.00;0.00000;0.440;0.00000;0.00;0.00;0;11.1000;0.0124;0.0124
1008;1.00;0.00;4.75;1.25;0.00;0.0180;0.025;0.0083;0.0220;0.000;1.00;0.69;0.000;237.00;0.0000;65.900;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0053;0.0063;0.0000;0.0010;0.0000;0.00;33.4000;0.00;0;0.00000;0.00;0.0130;0.00;0.00000;0.025;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1009;2.00;0.00;0.00;2.00;0.00;0.0000;0.000;0.1600;0.0300;0.000;1.20;16.00;16.000;152.00;0.0000;71.300;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;12.6000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.000;0.00000;0.00;0.00;0;16.0000;0.0000;0.0000
1010;2.10;0.10;0.00;0.00;3.30;0.0040;0.000;0.0300;0.0400;0.000;1.00;0.16;0.160;44.70;0.0000;93.500;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;6.3000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.000;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1011;15.00;0.33;0.00;3.90;1.83;0.0040;0.000;0.0220;0.0300;0.000;1.20;1.00;0.030;6.00;1.0000;98.000;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.0000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.000;0.00000;0.00;0.00;0;0.0300;0.0000;0.0000
1017;3.26;10.70;12.60;123.00;9.35;0.1900;0.370;0.0560;0.0700;0.250;0.86;9.34;8.950;85.10;0.5700;83.000;0.100;0.0140;0.0270;0.0000;0.0000;0.00000;0.00000;0.00;54.00;0.000;0.140;12.100;0.0230;0.0220;0.1100;0.0550;0.0000;9.11;6.3200;0.00;10;0.00000;4.50;0.1800;0.00;0.00000;0.370;0.00000;0.00;0.00;0;8.4241;0.3325;0.3325
1018;1.56;5.09;18.00;108.00;6.88;0.0800;0.670;0.0027;0.0820;1.100;0.95;7.36;5.550;91.00;0.0000;83.500;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;8.70;0.000;0.140;18.500;0.0068;0.0190;0.0820;0.0300;0.0000;3.97;8.6900;0.00;0;0.00000;0.72;0.1200;0.00;0.00000;0.670;0.00000;0.00;0.00;0;5.0400;0.1710;0.1710
1019;1.56;5.09;11.00;91.40;6.88;0.0800;0.560;0.0027;0.0820;1.100;0.77;7.97;5.660;96.60;0.0000;82.500;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;8.70;0.000;0.140;18.500;0.0027;0.0150;0.0670;0.0260;0.0000;3.77;9.1000;0.00;0;0.00000;0.72;0.1200;0.00;0.00000;0.560;0.00000;0.00;0.00;0;5.1500;0.2375;0.2375
2000;4.62;15.30;9.74;144.00;15.20;1.4600;0.160;0.0300;0.0800;5.000;1.00;11.20;11.200;49.70;0.1800;87.100;0.096;0.0440;0.0250;0.0140;0.0110;0.00000;0.00000;0.00;3.00;0.000;0.020;15.000;0.0580;0.0210;0.0560;0.1000;0.0000;18.00;0.0000;0.00;10;0.00000;0.25;0.2910;0.00;0.00000;0.160;0.00000;0.00;0.00;0;11.2000;0.3895;0.3895
2002;1.50;9.18;10.00;149.00;7.27;0.1600;0.120;0.0180;0.0360;5.000;1.00;11.30;11.000;51.60;0.2500;86.500;0.100;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;380.00;0.250;2.000;24.000;0.2400;0.3200;0.0950;0.3300;0.0000;30.50;0.0000;0.00;10;0.00000;31.67;0.3462;0.00;0.00000;0.120;0.00000;0.00;0.00;0;10.7885;0.4560;0.4560
2004;2.30;10.30;14.90;166.00;12.80;0.0700;0.180;0.0340;0.0500;0.500;1.50;8.80;8.800;39.10;0.2000;88.900;0.170;0.0220;0.0320;0.0166;0.0046;0.00000;0.00000;0.00;91.00;0.000;0.160;32.900;0.0670;0.0310;0.1700;0.0600;0.0000;21.20;0.0000;0.00;10;0.00000;7.58;0.4254;0.00;0.00000;0.180;0.00000;0.00;0.00;0;8.7428;0.5605;0.5605
2006;42.50;8.75;25.60;210.00;13.60;0.0710;0.460;0.0510;0.0860;1.100;2.00;6.55;5.950;38.20;0.3300;88.900;0.100;0.0370;0.0410;0.0360;0.0052;0.00000;0.00000;0.00;9300.00;0.000;1.160;8.500;0.0920;0.0550;0.2300;0.2200;0.0000;4.00;0.0000;0.00;10;0.00000;775.00;0.4591;0.00;0.00000;0.460;0.00000;0.00;0.00;0;5.9110;0.3800;0.3800
2007;2.62;5.99;14.50;132.00;12.40;0.0080;0.240;0.0420;0.0490;1.100;0.90;2.60;2.180;29.40;0.3000;91.400;0.240;0.0400;0.0210;0.0120;0.0090;0.00000;0.00000;0.00;1.00;0.000;0.095;42.400;0.0220;0.0130;0.1200;0.0480;0.0000;13.50;0.0000;0.00;10;0.00000;0.08;0.1372;0.00;0.00000;0.240;0.00000;0.00;0.00;0;2.1800;0.4275;0.4275
2008;2.12;8.31;10.90;132.00;12.80;0.0350;0.100;0.0430;0.0340;0.360;5.43;12.50;11.000;52.50;0.3600;86.400;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;75.00;0.000;1.000;19.900;0.1100;0.0190;0.5100;0.1200;0.3800;24.00;0.0034;0.00;0;0.00000;6.25;1.3438;0.00;0.00000;0.100;0.00000;0.00;0.00;0;10.7963;0.4370;0.4370
2012;3.44;10.10;16.20;168.00;4.13;0.0200;0.078;0.0230;0.0220;5.000;0.45;7.83;7.830;38.50;0.2500;89.700;0.130;0.0340;0.0440;0.0340;0.0095;0.00001;0.00001;0.00;10.60;0.000;0.150;29.000;0.0800;0.0340;0.2400;0.1000;0.0000;30.00;0.0000;0.00;10;0.00001;0.88;0.3474;0.00;0.00000;0.078;0.00000;0.00;0.00;0;7.7823;0.5985;0.5985
2013;0.56;13.20;17.00;200.00;10.50;0.0220;0.079;0.0250;0.0270;5.000;1.00;9.44;8.430;45.00;0.2000;88.300;0.200;0.0240;0.0400;0.0290;0.0075;0.00000;0.00000;0.00;33.00;0.000;0.040;52.600;0.0900;0.0300;0.1900;0.0400;0.0000;30.00;0.0000;0.00;10;0.00000;2.75;0.4913;0.00;0.00000;0.079;0.00000;0.00;0.00;0;8.4300;0.6270;0.6270
2014;3.98;4.62;6.35;112.00;64.50;0.0260;0.085;0.0110;0.0100;5.000;0.70;10.10;9.660;44.00;0.3000;88.500;0.098;0.0330;0.0530;0.0440;0.0090;0.00000;0.00000;0.00;4.23;0.000;0.010;13.200;0.0210;0.0170;0.0630;0.0300;0.0000;4.95;0.0000;0.00;10;0.00000;0.35;0.1810;0.00;0.00000;0.085;0.00000;0.00;0.00;0;9.2195;0.2280;0.2280
2015;3.97;7.75;14.00;111.00;10.60;0.0160;0.150;0.0310;0.0370;1.100;0.60;7.67;7.670;38.00;0.2100;89.900;0.100;0.0550;0.0160;0.0130;0.0036;0.00000;0.00000;0.00;3.00;0.000;0.040;23.700;0.0410;0.0150;0.1300;0.0160;0.0000;11.80;0.0000;0.00;10;0.00000;0.25;0.1322;0.00;0.00000;0.150;0.00000;0.00;0.00;0;7.4687;0.4940;0.4940
2016;3.81;7.30;12.00;103.00;10.70;0.0890;0.470;0.0310;0.0560;5.000;0.50;16.00;16.000;68.10;0.1400;82.600;0.057;0.0310;0.0220;0.0170;0.0050;0.00000;0.00000;0.00;5.00;0.000;0.400;18.200;0.0220;0.0260;0.0450;0.0490;0.0000;2.50;0.0000;0.00;10;0.00000;0.42;0.3207;0.00;0.00000;0.470;0.00000;0.00;0.00;0;15.8235;0.2375;0.2375
2021;268.00;9.70;18.30;227.00;10.40;0.0860;0.440;0.0850;0.2000;0.200;0.30;2.70;2.700;15.20;0.5000;94.300;0.100;0.0130;0.0360;0.0187;0.0052;0.00000;0.00000;0.00;529.00;0.000;0.740;30.200;0.0490;0.0300;0.2330;0.1380;0.0000;15.20;0.0000;0.00;10;0.00000;44.08;0.7947;0.00;0.00000;0.440;0.00000;0.00;0.00;0;2.7000;0.5415;0.5415
2023;4.62;14.30;14.70;162.00;10.60;0.0200;0.190;0.0200;0.0200;0.100;3.00;9.50;9.300;51.10;0.0000;86.000;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;375.00;0.000;1.050;18.200;0.0100;0.0200;0.1400;0.1200;0.0000;27.10;0.0000;0.00;10;0.00000;31.25;0.2810;0.00;0.00000;0.190;0.00000;0.00;0.00;0;9.3000;0.1805;0.1805
2025;1.00;12.00;15.00;162.00;9.00;0.0200;0.200;0.0330;0.0500;1.100;0.60;7.90;7.900;38.50;0.1000;89.900;0.100;0.0140;0.0240;0.0150;0.0038;0.00000;0.00000;0.00;4.00;0.000;0.220;38.000;0.0400;0.0200;0.1900;0.0440;0.0000;10.00;0.0000;0.00;10;0.00000;0.33;0.2653;0.00;0.00000;0.200;0.00000;0.00;0.00;0;7.5070;0.4180;0.4180
2027;3.05;7.55;14.70;109.00;6.68;0.0500;0.150;0.0500;0.0500;1.100;1.00;7.96;7.960;38.70;0.1500;89.800;0.083;0.0440;0.0170;0.0120;0.0031;0.00000;0.00000;0.00;217.00;0.000;0.190;22.500;0.0430;0.0170;0.1300;0.0480;0.0000;13.90;0.0000;0.00;10;0.00000;18.08;0.1927;0.00;0.00000;0.150;0.00000;0.00;0.00;0;7.5854;0.4655;0.4655
2031;10.50;7.00;10.00;75.00;12.00;0.0080;0.230;0.0300;0.0600;1.100;1.20;1.35;1.350;24.10;0.4500;92.500;0.230;0.0260;0.0640;0.0340;0.0086;0.00000;0.00000;0.00;10.00;0.000;0.120;6.400;0.0330;0.0030;0.0660;0.0270;0.0000;8.00;0.0000;0.00;10;0.00000;0.83;0.1829;0.00;0.00000;0.230;0.00000;0.00;0.00;0;1.3500;0.2375;0.2375
2034;3.79;9.30;16.00;123.00;2.80;0.0500;0.300;0.0500;0.0500;0.500;1.00;10.60;10.000;46.90;0.1500;88.000;0.140;0.0430;0.0350;0.0210;0.0053;0.00000;0.00000;0.00;30.00;0.000;0.090;17.600;0.0770;0.0180;0.1300;0.0660;0.0000;19.00;0.0000;0.00;10;0.00000;2.50;0.3042;0.00;0.00000;0.300;0.00000;0.00;0.00;0;9.8291;0.6270;0.6270
2035;7.57;7.80;12.40;163.00;8.80;0.2000;0.100;0.0500;0.0500;0.500;10.00;11.40;10.900;50.40;0.4300;87.000;0.100;0.0400;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;146.00;0.000;1.100;19.400;0.1400;0.2600;0.3800;0.2200;0.0000;25.50;0.0000;0.00;10;0.00000;12.17;1.2389;0.00;0.00000;0.100;0.00000;0.00;0.00;0;10.7121;0.4465;0.4465
2043;1.68;5.28;9.00;188.00;11.50;0.0220;0.380;0.0390;0.0500;1.100;0.20;13.70;11.000;58.60;0.0800;84.900;0.030;0.0050;0.0059;0.0000;0.0000;0.00000;0.00000;0.00;786.00;0.000;0.310;31.200;0.0090;0.0140;0.0960;0.0220;0.0000;1.00;0.0000;0.00;10;0.00000;65.50;0.3020;0.00;0.00000;0.380;0.00000;0.00;0.00;0;10.5736;0.1995;0.1995
2054;1.30;3.15;3.00;36.00;5.70;0.0300;0.260;0.0670;0.0700;1.100;0.70;13.50;11.400;57.30;0.4500;85.300;0.043;0.0010;0.0030;0.0000;0.0000;0.00000;0.00000;0.00;1.00;0.000;0.050;8.150;0.0020;0.0130;0.0220;0.0140;0.0000;1.00;0.0000;0.00;10;0.00000;0.08;0.1482;0.00;0.00000;0.260;0.00000;0.00;0.00;0;11.0149;0.1805;0.1805
2060;6.36;5.40;5.00;79.10;3.10;0.0500;0.200;0.0500;0.0500;0.300;1.00;11.30;10.900;49.30;0.1500;87.400;0.100;0.0067;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;267.00;0.250;1.050;16.000;0.1400;0.2000;0.6200;0.2200;0.0000;22.90;0.0000;0.00;10;0.00000;22.25;1.6570;0.00;0.00000;0.200;0.00000;0.00;0.00;0;10.6904;0.2280;0.2280
2061;3.43;4.93;6.43;81.70;7.80;0.0500;0.000;0.0500;0.0000;0.300;10.00;12.30;11.000;53.10;0.3000;86.400;0.089;0.0130;0.0000;0.0000;0.0000;0.00000;0.00000;120.00;26.10;0.000;0.970;20.600;0.0950;0.0250;0.6000;0.1400;0.0000;22.10;0.0000;0.00;10;0.00000;122.18;1.1233;0.00;0.00000;0.000;0.00000;0.00;0.00;0;10.4180;0.2850;0.2850
2069;8.57;8.20;12.10;148.00;11.10;0.2000;0.100;0.0500;0.0500;0.500;10.00;11.20;10.800;49.60;0.6200;87.800;0.150;0.0210;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;449.00;0.000;0.530;17.800;0.1100;0.0800;0.3100;0.1700;0.0000;18.80;0.0000;0.00;10;0.00000;37.42;0.9775;0.00;0.00000;0.100;0.00000;0.00;0.00;0;10.2953;0.4940;0.4940
2070;4.81;9.85;16.20;170.00;0.41;0.0230;0.068;0.0250;0.0450;1.100;0.70;9.58;9.580;45.00;0.2800;88.200;0.110;0.0530;0.0180;0.0140;0.0036;0.00000;0.00000;0.00;26.20;0.000;0.200;24.700;0.0800;0.0230;0.2400;0.1000;0.0000;30.00;0.0000;0.00;10;0.00000;2.18;0.3712;0.00;0.00000;0.068;0.00000;0.00;0.00;0;9.5249;0.5795;0.5795
2073;5.20;12.10;8.25;120.00;10.60;1.2000;0.180;0.0400;0.0730;1.100;1.00;12.00;12.000;52.50;0.2200;86.300;0.074;0.0310;0.0300;0.0110;0.0028;0.00000;0.00000;0.00;18.40;0.000;0.020;14.000;0.0550;0.0200;0.1500;0.1000;0.0000;23.00;0.0000;0.00;10;0.00000;1.53;0.3895;0.00;0.00000;0.180;0.00000;0.00;0.00;0;12.0000;0.3895;0.3895
2074;13.30;28.00;58.40;690.00;38.00;0.0500;0.300;0.0500;0.0500;0.100;1.00;10.00;9.600;43.60;0.2300;88.200;0.140;0.0460;0.0390;0.0210;0.0053;0.00000;0.00000;0.00;7.00;0.000;0.010;14.500;0.0130;0.0050;0.0450;0.0420;0.0000;7.04;0.0000;0.00;10;0.00000;0.58;0.0669;0.00;0.00000;0.300;0.00000;0.00;0.00;0;9.4183;0.1615;0.1615
2075;191.00;9.90;22.50;244.00;14.00;0.0870;0.390;0.0730;0.1700;0.340;0.90;3.40;3.400;17.50;0.6000;93.000;0.120;0.0180;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;4640.00;0.000;0.580;22.200;0.0530;0.0410;0.2400;0.1500;0.0000;12.70;0.0000;0.00;10;0.00000;386.67;0.7544;0.00;0.00000;0.390;0.00000;0.00;0.00;0;3.3951;0.6650;0.6650
2375;6.51;5.89;7.70;88.90;7.69;0.0220;0.140;0.0230;0.0410;1.100;1.10;8.79;8.790;39.80;0.1800;89.700;0.080;0.0050;0.0028;0.0000;0.0000;0.00000;0.00000;0.00;5.00;0.000;0.270;21.200;0.0400;0.0100;0.0540;0.0100;0.0000;12.80;0.0000;0.00;10;0.00000;0.42;0.1918;0.00;0.00000;0.140;0.00000;0.00;0.00;0;8.5724;0.2755;0.2755
4002;1.43;21.70;50.00;391.00;9.48;0.1500;0.350;0.0940;0.2400;1.100;3.00;20.10;1.700;91.90;1.5000;75.400;0.100;0.0260;0.0430;0.0260;0.0009;0.00000;0.00000;0.00;0.00;0.000;0.040;12.800;0.1100;0.0210;0.5600;0.3000;0.0000;9.00;0.0000;0.00;50;0.00000;0.00;1.7596;0.00;0.00000;0.350;0.00000;0.00;91.90;100;1.7000;1.8525;1.8525
4003;39.00;17.30;37.20;452.00;5.83;0.0740;0.300;0.0760;0.1500;5.000;2.50;16.40;0.590;79.40;1.8000;78.300;0.340;0.0940;0.0430;0.0320;0.0110;0.00000;0.00000;0.00;2.00;0.000;0.010;2.920;0.0790;0.0200;0.5700;0.3400;0.0000;31.10;0.0000;0.10;50;0.00000;0.17;2.1069;0.00;0.00000;0.300;0.00000;0.00;79.40;100;0.5900;1.7100;1.7100
4004;650.00;66.00;140.00;1300.00;27.00;0.3500;1.200;0.2200;0.8200;10.000;10.00;51.20;1.590;545.00;4.5600;1.400;34.300;3.2200;2.0700;2.0300;0.0400;0.00500;0.00500;10.50;2.50;0.000;12.300;8.260;0.1300;0.0140;0.8500;0.4400;0.0000;31.60;0.0000;0.35;196;0.01000;10.71;20.1566;0.00;0.00000;1.200;0.00000;0.00;545.00;100;1.5128;5.3960;5.3960
4005;17.50;27.70;92.00;792.00;23.80;0.1570;1.100;0.1170;0.3630;0.500;7.00;33.00;0.500;245.00;2.5000;47.000;11.400;2.6000;0.5000;0.3818;0.0406;0.00089;0.00089;0.00;3.00;0.000;0.700;16.500;0.1250;0.0600;0.3000;0.1900;0.0000;40.00;0.0000;0.00;147;0.00177;0.25;3.0336;0.00;0.00000;1.100;0.00000;0.00;245.00;100;0.4500;2.5650;2.5650
4006;1.50;22.00;44.00;379.00;5.00;0.1400;0.310;0.1900;0.3000;1.600;3.00;18.30;0.700;81.60;1.8000;77.000;0.100;0.0300;0.0400;0.0305;0.0032;0.00007;0.00007;0.00;0.00;0.000;0.040;13.000;0.1100;0.0200;0.5200;0.3000;0.0000;10.00;0.0000;0.00;147;0.00014;0.00;1.7853;0.00;0.00000;0.310;0.00000;0.00;81.60;100;0.7000;1.7765;1.7765
4010;40.60;28.10;111.00;550.00;12.30;0.2180;0.908;0.2140;0.5980;0.270;14.30;29.50;0.490;226.00;2.6000;49.000;10.800;2.4600;0.4580;0.3498;0.0372;0.00081;0.00081;0.00;3.00;0.000;0.190;13.300;0.1280;0.0310;0.5220;0.1840;0.0000;28.00;0.0000;0.00;147;0.00162;0.25;2.6112;0.00;0.00000;0.908;0.00000;0.00;226.00;100;0.4515;2.5270;2.5270
4013;373.00;27.90;111.00;550.00;25.20;0.1800;1.000;0.1000;0.5800;1.100;3.00;24.90;0.740;181.00;2.8200;61.000;7.220;1.6800;1.4700;1.4500;0.0210;0.00000;0.00000;0.00;3.00;0.000;0.200;10.500;0.1300;0.0300;0.5000;0.2000;0.0000;28.00;0.0000;0.00;61;0.00000;0.25;2.6516;0.00;0.00000;1.000;0.00000;0.00;181.00;100;0.7400;2.6220;2.6220
4018;44.90;15.20;45.50;260.00;31.10;0.0660;0.210;0.0610;0.2200;5.000;5.00;14.20;1.210;88.90;1.5000;77.000;2.400;1.4600;0.1300;0.1300;0.0044;0.00000;0.00000;22.00;5.50;0.000;0.070;6.100;0.0880;0.0410;0.4800;0.2300;0.0700;8.00;0.0000;6.50;60;0.00000;22.46;1.3838;0.00;0.00000;0.210;0.00000;0.00;88.90;100;0.2215;1.7955;1.7765
4019;35.00;16.20;53.70;289.00;50.70;0.0640;0.350;0.0660;0.3400;0.520;5.15;12.10;2.200;67.30;1.8000;82.800;0.530;0.3300;0.0150;0.0120;0.0036;0.00000;0.00000;5.54;3.00;0.000;0.200;3.200;0.0450;0.1000;0.2800;0.1400;0.0820;5.40;0.0000;1.52;60;0.00000;5.79;1.3149;0.00;0.00000;0.350;0.00000;0.00;67.30;100;2.0731;2.5517;2.5517
4021;527.00;14.00;210.00;180.00;120.00;0.1800;0.800;0.0600;0.3800;10.000;10.00;30.20;3.500;302.00;2.0000;43.500;17.700;3.3900;9.0900;8.1400;0.0200;0.00500;0.00500;10.50;2.50;0.000;6.600;8.260;0.0800;0.0710;0.7500;0.1100;0.3900;15.10;0.0000;51.70;50;0.01000;10.71;0.9960;0.00;0.00000;0.800;0.00000;0.00;302.00;100;3.3409;4.3394;4.3394
4027;35.00;22.00;56.20;465.00;21.00;0.1600;0.710;0.1000;0.3400;5.000;5.00;22.00;0.200;140.00;2.2000;69.100;4.130;2.1800;0.0740;0.0600;0.0110;0.00000;0.00000;0.00;5.50;0.000;0.230;8.260;0.0950;0.0320;0.4300;0.2300;0.0000;23.80;0.0000;0.00;61;0.00000;0.46;1.2877;0.00;0.00000;0.710;0.00000;0.00;140.00;100;0.2000;2.3750;2.3750
4102;31.50;22.50;43.00;353.00;32.50;0.3800;0.710;0.1300;0.2600;5.000;3.00;12.20;6.110;62.80;2.9000;78.000;0.150;0.0420;0.0770;0.0380;0.0013;0.00000;0.00000;0.00;10500.00;0.000;0.830;16.200;0.0820;0.0770;0.7300;0.2300;0.0000;6.00;0.0000;0.00;50;0.00000;875.00;1.6107;0.00;0.00000;0.710;0.00000;0.00;62.80;100;6.1100;1.6055;1.6055
5000;11.60;9.55;14.00;45.00;6.91;0.0000;0.020;0.0700;0.1700;0.000;4.10;4.10;4.100;40.70;0.0000;92.700;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0050;0.0300;0.1100;0.0300;0.0000;8.50;3.1900;0.00;0;0.00000;0.00;0.6541;0.00;0.00000;0.020;0.00000;0.00;0.00;0;4.1000;0.4560;0.4560
