var;condition;mean;std
proteines_N_d_kg;0;2.2;0.125
glut_ei;0;60.5;0.05
lip_ei;0;44;0.05
ags_ei;0;12;0.15
glus_slac;0;100;0.15
na;1;2070.0;0.30
na;2;1551.875;0.30
